id,city_id,name,created_at,updated_at
88,1,"{""en"": ""Лесопарковая"", ""ru"": ""Лесопарковая""}","2018-07-03 16:30:08","2018-07-03 16:30:08"
89,1,"{""en"": ""Лихоборы"", ""ru"": ""Лихоборы""}","2018-07-03 16:30:08","2018-07-03 16:30:08"
90,1,"{""en"": ""Локомотив"", ""ru"": ""Локомотив""}","2018-07-03 16:30:08","2018-07-03 16:30:08"
91,1,"{""en"": ""Ломоносовский проспект"", ""ru"": ""Ломоносовский проспект""}","2018-07-03 16:30:08","2018-07-03 16:30:08"
92,1,"{""en"": ""Лубянка"", ""ru"": ""Лубянка""}","2018-07-03 16:30:08","2018-07-03 16:30:08"
93,1,"{""en"": ""Лужники"", ""ru"": ""Лужники""}","2018-07-03 16:30:08","2018-07-03 16:30:08"
94,1,"{""en"": ""Люблино"", ""ru"": ""Люблино""}","2018-07-03 16:30:08","2018-07-03 16:30:08"
95,1,"{""en"": ""Марксистская"", ""ru"": ""Марксистская""}","2018-07-03 16:30:08","2018-07-03 16:30:08"
96,1,"{""en"": ""Марьина роща"", ""ru"": ""Марьина роща""}","2018-07-03 16:30:08","2018-07-03 16:30:08"
97,1,"{""en"": ""Марьино"", ""ru"": ""Марьино""}","2018-07-03 16:30:08","2018-07-03 16:30:08"
98,1,"{""en"": ""Маяковская"", ""ru"": ""Маяковская""}","2018-07-03 16:30:08","2018-07-03 16:30:08"
99,1,"{""en"": ""Медведково"", ""ru"": ""Медведково""}","2018-07-03 16:30:08","2018-07-03 16:30:08"
100,1,"{""en"": ""Международная"", ""ru"": ""Международная""}","2018-07-03 16:30:08","2018-07-03 16:30:08"
101,1,"{""en"": ""Менделеевская"", ""ru"": ""Менделеевская""}","2018-07-03 16:30:08","2018-07-03 16:30:08"
102,1,"{""en"": ""Минская"", ""ru"": ""Минская""}","2018-07-03 16:30:08","2018-07-03 16:30:08"
103,1,"{""en"": ""Митино"", ""ru"": ""Митино""}","2018-07-03 16:30:08","2018-07-03 16:30:08"
104,1,"{""en"": ""Молодежная"", ""ru"": ""Молодежная""}","2018-07-03 16:30:08","2018-07-03 16:30:08"
105,1,"{""en"": ""Мякинино"", ""ru"": ""Мякинино""}","2018-07-03 16:30:08","2018-07-03 16:30:08"
106,1,"{""en"": ""Нагатинская"", ""ru"": ""Нагатинская""}","2018-07-03 16:30:08","2018-07-03 16:30:08"
107,1,"{""en"": ""Нагорная"", ""ru"": ""Нагорная""}","2018-07-03 16:30:08","2018-07-03 16:30:08"
108,1,"{""en"": ""Нахимовский проспект"", ""ru"": ""Нахимовский проспект""}","2018-07-03 16:30:08","2018-07-03 16:30:08"
109,1,"{""en"": ""Нижегородская"", ""ru"": ""Нижегородская""}","2018-07-03 16:30:08","2018-07-03 16:30:08"
110,1,"{""en"": ""Новогиреево"", ""ru"": ""Новогиреево""}","2018-07-03 16:30:08","2018-07-03 16:30:08"
111,1,"{""en"": ""Новокосино"", ""ru"": ""Новокосино""}","2018-07-03 16:30:08","2018-07-03 16:30:08"
112,1,"{""en"": ""Новокузнецкая"", ""ru"": ""Новокузнецкая""}","2018-07-03 16:30:08","2018-07-03 16:30:08"
113,1,"{""en"": ""Новослободская"", ""ru"": ""Новослободская""}","2018-07-03 16:30:08","2018-07-03 16:30:08"
114,1,"{""en"": ""Новохохловская"", ""ru"": ""Новохохловская""}","2018-07-03 16:30:08","2018-07-03 16:30:08"
115,1,"{""en"": ""Новоясеневская"", ""ru"": ""Новоясеневская""}","2018-07-03 16:30:08","2018-07-03 16:30:08"
116,1,"{""en"": ""Новые Черемушки"", ""ru"": ""Новые Черемушки""}","2018-07-03 16:30:08","2018-07-03 16:30:08"
